 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.19;"2,523"
02.02.19;"2,896"
03.02.19;"17,060"
04.02.19;"12,534"
05.02.19;"2,887"
06.02.19;"2,977"
07.02.19;"8,624"
08.02.19;"2,273"
09.02.19;"9,738"
10.02.19;"1,098"
11.02.19;"13,509"
12.02.19;"19,562"
13.02.19;"1,804"
14.02.19;"31,673"
15.02.19;"36,802"
16.02.19;"35,596"
17.02.19;"31,913"
18.02.19;"34,082"
19.02.19;"7,331"
20.02.19;"8,928"
21.02.19;"7,418"
22.02.19;"12,830"
23.02.19;"31,941"
24.02.19;"40,480"
25.02.19;"39,492"
26.02.19;"41,335"
27.02.19;"42,907"
28.02.19;"3,203"
