 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.21;"44,139"
02.09.21;"16,375"
03.09.21;"42,973"
04.09.21;"26,249"
05.09.21;"53,305"
06.09.21;"37,091"
07.09.21;"42,058"
08.09.21;"51,321"
09.09.21;"50,567"
10.09.21;"10,391"
11.09.21;"13,205"
12.09.21;"17,871"
13.09.21;"13,874"
14.09.21;"46,687"
15.09.21;"4,731"
16.09.21;"19,679"
17.09.21;"22,931"
18.09.21;"13,574"
19.09.21;"20,895"
20.09.21;"12,934"
21.09.21;"12,686"
22.09.21;"36,911"
23.09.21;"8,048"
24.09.21;"7,992"
25.09.21;"12,286"
26.09.21;"36,463"
27.09.21;"21,754"
28.09.21;"42,328"
29.09.21;"21,873"
30.09.21;"36,663"
