 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.18;"3,970"
02.12.18;"0,634"
03.12.18;"2,385"
04.12.18;"13,563"
05.12.18;"12,899"
06.12.18;"0,611"
07.12.18;"0,512"
08.12.18;"0,953"
09.12.18;"4,342"
10.12.18;"6,765"
11.12.18;"18,772"
12.12.18;"1,955"
13.12.18;"4,200"
14.12.18;"1,661"
15.12.18;"1,175"
16.12.18;"1,793"
17.12.18;"1,228"
18.12.18;"1,559"
19.12.18;"0,637"
20.12.18;"1,468"
21.12.18;"0,507"
22.12.18;"1,038"
23.12.18;"0,746"
24.12.18;"13,835"
25.12.18;"1,703"
26.12.18;"0,304"
27.12.18;"0,362"
28.12.18;"0,750"
29.12.18;"0,851"
30.12.18;"7,094"
31.12.18;"1,403"
