 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.18;"62,625"
02.07.18;"60,873"
03.07.18;"57,035"
04.07.18;"60,830"
05.07.18;"27,764"
06.07.18;"52,353"
07.07.18;"54,302"
08.07.18;"59,852"
09.07.18;"26,618"
10.07.18;"48,163"
11.07.18;"13,714"
12.07.18;"41,705"
13.07.18;"35,858"
14.07.18;"25,698"
15.07.18;"48,736"
16.07.18;"47,731"
17.07.18;"55,356"
18.07.18;"44,500"
19.07.18;"47,636"
20.07.18;"51,088"
21.07.18;"31,305"
22.07.18;"53,709"
23.07.18;"50,368"
24.07.18;"55,121"
25.07.18;"39,575"
26.07.18;"55,113"
27.07.18;"57,474"
28.07.18;"28,165"
29.07.18;"54,379"
30.07.18;"39,767"
31.07.18;"42,369"
