 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.19;"4,619"
02.10.19;"29,592"
03.10.19;"40,685"
04.10.19;"5,382"
05.10.19;"34,707"
06.10.19;"26,900"
07.10.19;"40,809"
08.10.19;"11,933"
09.10.19;"11,324"
10.10.19;"17,299"
11.10.19;"3,116"
12.10.19;"5,651"
13.10.19;"10,611"
14.10.19;"23,731"
15.10.19;"30,302"
16.10.19;"8,641"
17.10.19;"5,574"
18.10.19;"13,214"
19.10.19;"8,015"
20.10.19;"4,847"
21.10.19;"5,243"
22.10.19;"6,368"
23.10.19;"19,398"
24.10.19;"6,950"
25.10.19;"13,705"
26.10.19;"15,327"
27.10.19;"23,804"
28.10.19;"16,032"
29.10.19;"29,721"
30.10.19;"27,659"
31.10.19;"29,796"
