 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.19;"21,235"
02.09.19;"34,026"
03.09.19;"15,992"
04.09.19;"22,896"
05.09.19;"31,384"
06.09.19;"25,741"
07.09.19;"33,121"
08.09.19;"30,580"
09.09.19;"31,710"
10.09.19;"44,951"
11.09.19;"33,278"
12.09.19;"27,288"
13.09.19;"37,425"
14.09.19;"44,833"
15.09.19;"19,928"
16.09.19;"26,360"
17.09.19;"28,881"
18.09.19;"39,303"
19.09.19;"36,372"
20.09.19;"22,383"
21.09.19;"49,084"
22.09.19;"49,228"
23.09.19;"31,213"
24.09.19;"28,207"
25.09.19;"6,855"
26.09.19;"9,270"
27.09.19;"21,852"
28.09.19;"28,176"
29.09.19;"2,993"
30.09.19;"18,437"
