 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.19;"61,658"
02.04.19;"46,684"
03.04.19;"17,458"
04.04.19;"11,878"
05.04.19;"5,812"
06.04.19;"50,527"
07.04.19;"55,139"
08.04.19;"52,581"
09.04.19;"53,229"
10.04.19;"54,249"
11.04.19;"28,637"
12.04.19;"29,800"
13.04.19;"26,641"
14.04.19;"15,566"
15.04.19;"60,431"
16.04.19;"62,830"
17.04.19;"61,063"
18.04.19;"58,765"
19.04.19;"57,830"
20.04.19;"59,926"
21.04.19;"61,260"
22.04.19;"61,196"
23.04.19;"61,392"
24.04.19;"50,317"
25.04.19;"53,051"
26.04.19;"26,545"
27.04.19;"37,993"
28.04.19;"26,709"
29.04.19;"17,064"
30.04.19;"53,849"
