 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.18;"47,999"
02.03.18;"47,821"
03.03.18;"48,002"
04.03.18;"17,303"
05.03.18;"35,079"
06.03.18;"42,191"
07.03.18;"6,791"
08.03.18;"23,341"
09.03.18;"32,422"
10.03.18;"4,366"
11.03.18;"24,297"
12.03.18;"8,141"
13.03.18;"5,810"
14.03.18;"14,930"
15.03.18;"12,887"
16.03.18;"4,363"
17.03.18;"57,201"
18.03.18;"56,457"
19.03.18;"58,127"
20.03.18;"56,969"
21.03.18;"17,965"
22.03.18;"7,558"
23.03.18;"10,430"
24.03.18;"13,200"
25.03.18;"10,557"
26.03.18;"8,110"
27.03.18;"35,898"
28.03.18;"2,824"
29.03.18;"23,420"
30.03.18;"47,793"
31.03.18;"8,646"
