 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.10.21;"33,332"
02.10.21;"16,895"
03.10.21;"7,967"
04.10.21;"18,730"
05.10.21;"10,789"
06.10.21;"16,365"
07.10.21;"35,600"
08.10.21;"41,129"
09.10.21;"40,643"
10.10.21;"31,883"
11.10.21;"25,816"
12.10.21;"32,325"
13.10.21;"14,960"
14.10.21;"7,229"
15.10.21;"19,214"
16.10.21;"13,239"
17.10.21;"3,337"
18.10.21;"9,022"
19.10.21;"4,043"
20.10.21;"4,155"
21.10.21;"6,468"
22.10.21;"5,703"
23.10.21;"17,949"
24.10.21;"31,389"
25.10.21;"15,166"
26.10.21;"9,593"
27.10.21;"1,707"
28.10.21;"27,867"
29.10.21;"26,266"
30.10.21;"4,029"
31.10.21;"17,383"
