 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.19;"13,166"
02.05.19;"10,196"
03.05.19;"41,167"
04.05.19;"35,754"
05.05.19;"38,738"
06.05.19;"27,480"
07.05.19;"46,583"
08.05.19;"27,253"
09.05.19;"38,625"
10.05.19;"15,145"
11.05.19;"59,636"
12.05.19;"64,089"
13.05.19;"63,771"
14.05.19;"51,356"
15.05.19;"50,391"
16.05.19;"15,651"
17.05.19;"30,265"
18.05.19;"52,615"
19.05.19;"48,171"
20.05.19;"51,433"
21.05.19;"5,602"
22.05.19;"18,940"
23.05.19;"53,656"
24.05.19;"51,688"
25.05.19;"16,572"
26.05.19;"15,356"
27.05.19;"40,594"
28.05.19;"44,095"
29.05.19;"45,666"
30.05.19;"17,730"
31.05.19;"34,676"
