 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.20;"60,477"
02.06.20;"54,960"
03.06.20;"41,949"
04.06.20;"14,472"
05.06.20;"42,152"
06.06.20;"47,497"
07.06.20;"32,969"
08.06.20;"29,680"
09.06.20;"48,115"
10.06.20;"48,496"
11.06.20;"8,706"
12.06.20;"32,855"
13.06.20;"37,900"
14.06.20;"10,837"
15.06.20;"58,115"
16.06.20;"47,456"
17.06.20;"55,227"
18.06.20;"41,535"
19.06.20;"14,114"
20.06.20;"44,008"
21.06.20;"56,897"
22.06.20;"50,738"
23.06.20;"58,472"
24.06.20;"60,695"
25.06.20;"51,221"
26.06.20;"56,170"
27.06.20;"41,424"
28.06.20;"25,198"
29.06.20;"48,452"
30.06.20;"13,377"
