 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.19;"55,946"
02.06.19;"52,759"
03.06.19;"32,460"
04.06.19;"34,332"
05.06.19;"36,620"
06.06.19;"17,392"
07.06.19;"60,223"
08.06.19;"22,251"
09.06.19;"51,430"
10.06.19;"38,644"
11.06.19;"22,963"
12.06.19;"13,343"
13.06.19;"58,929"
14.06.19;"44,850"
15.06.19;"15,852"
16.06.19;"39,389"
17.06.19;"54,474"
18.06.19;"45,226"
19.06.19;"48,043"
20.06.19;"25,838"
21.06.19;"38,453"
22.06.19;"59,545"
23.06.19;"57,880"
24.06.19;"58,164"
25.06.19;"54,778"
26.06.19;"58,609"
27.06.19;"20,532"
28.06.19;"55,513"
29.06.19;"59,717"
30.06.19;"55,351"
