 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.21;"20,359"
02.03.21;"43,939"
03.03.21;"35,959"
04.03.21;"4,613"
05.03.21;"48,946"
06.03.21;"12,693"
07.03.21;"8,219"
08.03.21;"48,772"
09.03.21;"1,426"
10.03.21;"18,497"
11.03.21;"16,164"
12.03.21;"13,599"
13.03.21;"19,954"
14.03.21;"19,382"
15.03.21;"16,531"
16.03.21;"25,169"
17.03.21;"24,687"
18.03.21;"11,288"
19.03.21;"27,132"
20.03.21;"15,510"
21.03.21;"28,733"
22.03.21;"21,738"
23.03.21;"6,405"
24.03.21;"33,479"
25.03.21;"36,869"
26.03.21;"37,770"
27.03.21;"21,029"
28.03.21;"17,308"
29.03.21;"41,830"
30.03.21;"55,519"
31.03.21;"53,038"
