 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.21;"10,690"
02.11.21;"16,726"
03.11.21;"6,842"
04.11.21;"2,875"
05.11.21;"8,896"
06.11.21;"2,436"
07.11.21;"12,765"
08.11.21;"8,175"
09.11.21;"20,130"
10.11.21;"5,473"
11.11.21;"1,583"
12.11.21;"2,409"
13.11.21;"1,531"
14.11.21;"1,179"
15.11.21;"1,129"
16.11.21;"0,382"
17.11.21;"2,130"
18.11.21;"2,538"
19.11.21;"1,482"
20.11.21;"1,248"
21.11.21;"12,598"
22.11.21;"19,607"
23.11.21;"8,695"
24.11.21;"3,332"
25.11.21;"2,578"
26.11.21;"2,864"
27.11.21;"1,665"
28.11.21;"3,813"
29.11.21;"2,208"
30.11.21;"2,470"
