 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.07.19;"43,805"
02.07.19;"42,133"
03.07.19;"32,670"
04.07.19;"28,791"
05.07.19;"17,374"
06.07.19;"13,759"
07.07.19;"27,385"
08.07.19;"26,309"
09.07.19;"22,952"
10.07.19;"31,401"
11.07.19;"21,848"
12.07.19;"31,234"
13.07.19;"22,347"
14.07.19;"14,850"
15.07.19;"18,599"
16.07.19;"28,444"
17.07.19;"37,924"
18.07.19;"44,508"
19.07.19;"47,395"
20.07.19;"39,834"
21.07.19;"44,880"
22.07.19;"23,559"
23.07.19;"56,807"
24.07.19;"51,801"
25.07.19;"49,796"
26.07.19;"53,728"
27.07.19;"55,729"
28.07.19;"50,585"
29.07.19;"19,228"
30.07.19;"52,950"
31.07.19;"34,670"
