 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.18;"49,941"
02.06.18;"7,795"
03.06.18;"25,484"
04.06.18;"10,037"
05.06.18;"51,822"
06.06.18;"62,157"
07.06.18;"60,046"
08.06.18;"54,693"
09.06.18;"41,956"
10.06.18;"21,697"
11.06.18;"46,889"
12.06.18;"18,770"
13.06.18;"20,307"
14.06.18;"48,623"
15.06.18;"58,680"
16.06.18;"35,919"
17.06.18;"35,745"
18.06.18;"25,277"
19.06.18;"19,685"
20.06.18;"46,545"
21.06.18;"30,711"
22.06.18;"38,573"
23.06.18;"18,784"
24.06.18;"13,901"
25.06.18;"18,331"
26.06.18;"42,954"
27.06.18;"54,795"
28.06.18;"59,783"
29.06.18;"58,986"
30.06.18;"57,771"
