 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.18;"5,014"
02.02.18;"1,248"
03.02.18;"0,851"
04.02.18;"0,154"
05.02.18;"3,086"
06.02.18;"21,945"
07.02.18;"32,566"
08.02.18;"29,197"
09.02.18;"28,113"
10.02.18;"17,989"
11.02.18;"4,603"
12.02.18;"27,193"
13.02.18;"34,808"
14.02.18;"38,122"
15.02.18;"2,850"
16.02.18;"26,251"
17.02.18;"22,600"
18.02.18;"34,717"
19.02.18;"27,281"
20.02.18;"34,013"
21.02.18;"28,681"
22.02.18;"9,523"
23.02.18;"39,237"
24.02.18;"27,335"
25.02.18;"10,542"
26.02.18;"15,715"
27.02.18;"32,697"
28.02.18;"45,951"
