 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.21;"21,334"
02.04.21;"15,243"
03.04.21;"56,187"
04.04.21;"8,199"
05.04.21;"32,386"
06.04.21;"26,967"
07.04.21;"18,710"
08.04.21;"18,975"
09.04.21;"25,918"
10.04.21;"33,955"
11.04.21;"7,684"
12.04.21;"39,061"
13.04.21;"42,268"
14.04.21;"41,224"
15.04.21;"40,658"
16.04.21;"57,476"
17.04.21;"47,230"
18.04.21;"48,921"
19.04.21;"41,495"
20.04.21;"59,457"
21.04.21;"34,813"
22.04.21;"29,666"
23.04.21;"58,208"
24.04.21;"63,133"
25.04.21;"54,964"
26.04.21;"45,142"
27.04.21;"61,959"
28.04.21;"60,415"
29.04.21;"10,053"
30.04.21;"28,207"
