 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.05.21;"25,130"
02.05.21;"25,403"
03.05.21;"24,726"
04.05.21;"16,425"
05.05.21;"19,036"
06.05.21;"44,220"
07.05.21;"32,427"
08.05.21;"45,218"
09.05.21;"54,427"
10.05.21;"30,826"
11.05.21;"18,917"
12.05.21;"18,676"
13.05.21;"10,571"
14.05.21;"10,213"
15.05.21;"29,955"
16.05.21;"28,291"
17.05.21;"32,975"
18.05.21;"26,207"
19.05.21;"39,167"
20.05.21;"47,133"
21.05.21;"33,814"
22.05.21;"14,565"
23.05.21;"29,982"
24.05.21;"46,287"
25.05.21;"29,586"
26.05.21;"29,113"
27.05.21;"19,226"
28.05.21;"30,038"
29.05.21;"20,448"
30.05.21;"54,747"
31.05.21;"61,128"
