 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.06.21;"53,551"
02.06.21;"59,562"
03.06.21;"15,566"
04.06.21;"51,959"
05.06.21;"27,202"
06.06.21;"10,664"
07.06.21;"9,892"
08.06.21;"46,740"
09.06.21;"52,627"
10.06.21;"53,448"
11.06.21;"48,155"
12.06.21;"32,206"
13.06.21;"48,620"
14.06.21;"59,511"
15.06.21;"47,041"
16.06.21;"59,897"
17.06.21;"56,336"
18.06.21;"52,893"
19.06.21;"53,697"
20.06.21;"39,948"
21.06.21;"9,953"
22.06.21;"38,066"
23.06.21;"28,537"
24.06.21;"34,465"
25.06.21;"55,674"
26.06.21;"49,124"
27.06.21;"51,683"
28.06.21;"50,970"
29.06.21;"19,077"
30.06.21;"13,594"
