 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.02.21;"7,347"
02.02.21;"8,780"
03.02.21;"2,012"
04.02.21;"4,821"
05.02.21;"4,343"
06.02.21;"4,440"
07.02.21;"1,349"
08.02.21;"6,332"
09.02.21;"1,090"
10.02.21;"2,793"
11.02.21;"14,522"
12.02.21;"31,466"
13.02.21;"34,209"
14.02.21;"34,843"
15.02.21;"4,180"
16.02.21;"4,578"
17.02.21;"5,544"
18.02.21;"21,235"
19.02.21;"27,869"
20.02.21;"23,562"
21.02.21;"35,982"
22.02.21;"33,685"
23.02.21;"13,024"
24.02.21;"35,051"
25.02.21;"25,945"
26.02.21;"33,506"
27.02.21;"6,351"
28.02.21;"7,014"
