 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.18;"37,213"
02.09.18;"46,981"
03.09.18;"34,354"
04.09.18;"37,242"
05.09.18;"29,901"
06.09.18;"41,540"
07.09.18;"21,538"
08.09.18;"42,259"
09.09.18;"34,611"
10.09.18;"27,948"
11.09.18;"18,395"
12.09.18;"8,191"
13.09.18;"46,449"
14.09.18;"48,671"
15.09.18;"28,476"
16.09.18;"38,806"
17.09.18;"42,936"
18.09.18;"49,990"
19.09.18;"46,411"
20.09.18;"30,721"
21.09.18;"9,491"
22.09.18;"26,276"
23.09.18;"8,783"
24.09.18;"22,572"
25.09.18;"40,765"
26.09.18;"32,572"
27.09.18;"28,475"
28.09.18;"39,881"
29.09.18;"29,113"
30.09.18;"39,380"
