 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.04.20;"21,166"
02.04.20;"25,305"
03.04.20;"40,970"
04.04.20;"45,689"
05.04.20;"59,341"
06.04.20;"57,594"
07.04.20;"55,681"
08.04.20;"52,291"
09.04.20;"55,183"
10.04.20;"54,699"
11.04.20;"55,124"
12.04.20;"54,121"
13.04.20;"48,763"
14.04.20;"27,428"
15.04.20;"58,678"
16.04.20;"52,889"
17.04.20;"59,653"
18.04.20;"61,438"
19.04.20;"65,282"
20.04.20;"63,769"
21.04.20;"63,360"
22.04.20;"62,458"
23.04.20;"60,494"
24.04.20;"61,600"
25.04.20;"46,699"
26.04.20;"37,299"
27.04.20;"53,993"
28.04.20;"35,637"
29.04.20;"10,872"
30.04.20;"32,961"
