 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.09.20;"47,172"
02.09.20;"46,504"
03.09.20;"13,710"
04.09.20;"26,881"
05.09.20;"29,885"
06.09.20;"33,294"
07.09.20;"33,372"
08.09.20;"9,210"
09.09.20;"8,135"
10.09.20;"33,923"
11.09.20;"37,451"
12.09.20;"29,230"
13.09.20;"41,827"
14.09.20;"48,174"
15.09.20;"40,890"
16.09.20;"39,149"
17.09.20;"49,283"
18.09.20;"51,396"
19.09.20;"43,283"
20.09.20;"51,443"
21.09.20;"49,957"
22.09.20;"45,646"
23.09.20;"34,615"
24.09.20;"37,098"
25.09.20;"25,043"
26.09.20;"10,596"
27.09.20;"3,797"
28.09.20;"7,889"
29.09.20;"31,255"
30.09.20;"25,244"
