 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.01.21;"2,808"
02.01.21;"0,648"
03.01.21;"2,400"
04.01.21;"1,484"
05.01.21;"0,484"
06.01.21;"1,147"
07.01.21;"0,621"
08.01.21;"2,595"
09.01.21;"1,570"
10.01.21;"8,536"
11.01.21;"0,268"
12.01.21;"14,369"
13.01.21;"7,160"
14.01.21;"1,981"
15.01.21;"0,950"
16.01.21;"10,630"
17.01.21;"4,695"
18.01.21;"0,885"
19.01.21;"0,936"
20.01.21;"3,860"
21.01.21;"13,400"
22.01.21;"6,647"
23.01.21;"9,282"
24.01.21;"5,014"
25.01.21;"6,469"
26.01.21;"15,346"
27.01.21;"8,318"
28.01.21;"7,459"
29.01.21;"1,308"
30.01.21;"11,697"
31.01.21;"22,582"
