 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.20;"30,144"
02.08.20;"33,399"
03.08.20;"45,991"
04.08.20;"47,360"
05.08.20;"56,579"
06.08.20;"52,962"
07.08.20;"53,864"
08.08.20;"50,438"
09.08.20;"32,058"
10.08.20;"44,930"
11.08.20;"54,311"
12.08.20;"54,022"
13.08.20;"52,616"
14.08.20;"40,209"
15.08.20;"38,834"
16.08.20;"51,095"
17.08.20;"23,635"
18.08.20;"38,163"
19.08.20;"51,227"
20.08.20;"23,390"
21.08.20;"12,008"
22.08.20;"39,003"
23.08.20;"31,939"
24.08.20;"16,615"
25.08.20;"31,739"
26.08.20;"11,599"
27.08.20;"37,967"
28.08.20;"29,124"
29.08.20;"41,465"
30.08.20;"50,537"
31.08.20;"30,293"
