 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.11.20;"17,312"
02.11.20;"8,396"
03.11.20;"18,055"
04.11.20;"23,275"
05.11.20;"14,920"
06.11.20;"3,018"
07.11.20;"22,192"
08.11.20;"20,490"
09.11.20;"3,073"
10.11.20;"1,364"
11.11.20;"1,934"
12.11.20;"3,751"
13.11.20;"17,705"
14.11.20;"3,697"
15.11.20;"16,938"
16.11.20;"3,695"
17.11.20;"0,903"
18.11.20;"3,203"
19.11.20;"3,641"
20.11.20;"11,485"
21.11.20;"1,022"
22.11.20;"6,270"
23.11.20;"13,107"
24.11.20;"2,487"
25.11.20;"16,474"
26.11.20;"2,312"
27.11.20;"4,959"
28.11.20;"0,919"
29.11.20;"2,856"
30.11.20;"2,385"
