 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.21;"28,408"
02.08.21;"27,271"
03.08.21;"34,867"
04.08.21;"28,931"
05.08.21;"33,998"
06.08.21;"36,183"
07.08.21;"32,551"
08.08.21;"20,620"
09.08.21;"37,574"
10.08.21;"29,839"
11.08.21;"44,283"
12.08.21;"44,467"
13.08.21;"37,729"
14.08.21;"31,517"
15.08.21;"32,575"
16.08.21;"11,235"
17.08.21;"17,370"
18.08.21;"12,149"
19.08.21;"12,337"
20.08.21;"18,829"
21.08.21;"33,149"
22.08.21;"7,453"
23.08.21;"54,076"
24.08.21;"48,514"
25.08.21;"20,526"
26.08.21;"23,261"
27.08.21;"22,783"
28.08.21;"12,586"
29.08.21;"10,307"
30.08.21;"21,281"
31.08.21;"50,971"
