 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.03.19;"9,530"
02.03.19;"15,450"
03.03.19;"2,466"
04.03.19;"9,098"
05.03.19;"12,419"
06.03.19;"9,155"
07.03.19;"11,294"
08.03.19;"27,035"
09.03.19;"13,568"
10.03.19;"9,523"
11.03.19;"10,920"
12.03.19;"10,522"
13.03.19;"5,324"
14.03.19;"4,175"
15.03.19;"11,682"
16.03.19;"5,842"
17.03.19;"17,874"
18.03.19;"26,774"
19.03.19;"32,693"
20.03.19;"9,113"
21.03.19;"7,489"
22.03.19;"32,246"
23.03.19;"11,200"
24.03.19;"34,502"
25.03.19;"25,221"
26.03.19;"18,666"
27.03.19;"12,736"
28.03.19;"10,719"
29.03.19;"48,241"
30.03.19;"47,850"
31.03.19;"44,818"
