 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.08.19;"45,837"
02.08.19;"35,355"
03.08.19;"37,307"
04.08.19;"20,190"
05.08.19;"20,490"
06.08.19;"42,336"
07.08.19;"34,049"
08.08.19;"35,163"
09.08.19;"23,449"
10.08.19;"25,614"
11.08.19;"46,591"
12.08.19;"38,799"
13.08.19;"24,418"
14.08.19;"46,328"
15.08.19;"12,467"
16.08.19;"25,083"
17.08.19;"16,024"
18.08.19;"14,024"
19.08.19;"39,306"
20.08.19;"37,892"
21.08.19;"52,969"
22.08.19;"53,270"
23.08.19;"46,898"
24.08.19;"54,223"
25.08.19;"48,884"
26.08.19;"48,197"
27.08.19;"48,177"
28.08.19;"38,882"
29.08.19;"33,779"
30.08.19;"48,325"
31.08.19;"50,534"
