 ;Fischer_Heiko_Bargstedt_S / Gesamtertrag / Zaehleraenderung  [kWh]0
01.12.19;"2,023"
02.12.19;"9,855"
03.12.19;"4,362"
04.12.19;"1,312"
05.12.19;"17,366"
06.12.19;"0,400"
07.12.19;"1,806"
08.12.19;"0,581"
09.12.19;"2,100"
10.12.19;"12,105"
11.12.19;"0,636"
12.12.19;"1,252"
13.12.19;"4,268"
14.12.19;"3,217"
15.12.19;"11,683"
16.12.19;"2,206"
17.12.19;"8,619"
18.12.19;"1,838"
19.12.19;"14,810"
20.12.19;"7,701"
21.12.19;"11,545"
22.12.19;"2,879"
23.12.19;"5,345"
24.12.19;"0,512"
25.12.19;"1,690"
26.12.19;"4,483"
27.12.19;"1,762"
28.12.19;"8,672"
29.12.19;"2,341"
30.12.19;"8,656"
31.12.19;"11,447"
