time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2014-01-01,4.0,2.4,6.7,1.2,0.0,,,,,
2014-01-02,7.1,4.5,9.1,1.1,0.0,,,,,
2014-01-03,6.6,3.9,9.4,3.3,0.0,,,,,
2014-01-04,5.9,3.4,7.8,0.0,0.0,,,,,
2014-01-05,4.5,1.3,7.5,1.9,0.0,,,,,
2014-01-06,7.1,2.3,10.4,6.0,0.0,,,,,
2014-01-07,9.9,7.5,11.4,0.1,0.0,,,,,
2014-01-08,8.6,7.2,9.3,3.9,0.0,,,,,
2014-01-09,8.3,5.4,11.9,6.0,0.0,,,,,
2014-01-10,6.1,5.1,7.0,0.7,0.0,,,,,
2014-01-11,5.2,3.6,6.0,2.9,0.0,,,,,
2014-01-12,3.5,-0.1,6.6,0.9,0.0,,,,,
2014-01-13,3.3,-0.3,6.8,1.7,0.0,,,,,
2014-01-14,2.2,-0.1,4.6,0.0,0.0,,,,,
2014-01-15,2.8,1.3,4.2,6.2,0.0,,,,,
2014-01-16,3.8,2.5,6.3,7.8,0.0,,,,,
2014-01-17,6.5,5.2,8.0,2.2,0.0,,,,,
2014-01-18,5.6,3.6,8.1,0.0,0.0,,,,,
2014-01-19,2.9,0.2,4.8,0.0,0.0,,,,,
2014-01-20,-0.6,-1.1,0.2,0.1,0.0,,,,,
2014-01-21,-1.5,-1.7,-1.1,0.1,0.0,,,,,
2014-01-22,-2.5,-3.9,-1.3,0.0,0.0,,,,,
2014-01-23,-3.4,-4.1,-2.8,0.8,0.0,,,,,
2014-01-24,-5.3,-8.7,-4.0,0.0,10.0,,,,,
2014-01-25,-9.8,-11.7,-7.7,0.0,10.0,,,,,
2014-01-26,-9.8,-11.6,-8.2,2.5,10.0,,,,,
2014-01-27,-0.9,-8.2,4.8,0.0,30.0,,,,,
2014-01-28,-1.0,-3.0,1.2,0.0,20.0,,,,,
2014-01-29,-4.5,-5.8,-1.4,0.0,20.0,,,,,
2014-01-30,-4.4,-5.6,-2.8,0.0,20.0,,,,,
2014-01-31,-3.8,-5.7,-1.5,0.0,10.0,,,,,
2014-02-01,2.5,-3.3,4.3,2.4,0.0,,,,,
2014-02-02,3.6,-1.0,8.0,0.0,0.0,,,,,
2014-02-03,0.5,-2.6,2.9,0.0,0.0,,,,,
2014-02-04,2.3,-0.9,8.1,0.0,0.0,,,,,
2014-02-05,1.5,-1.9,5.3,0.0,0.0,,,,,
2014-02-06,6.4,4.1,9.1,3.2,0.0,,,,,
2014-02-07,7.2,4.9,12.0,7.4,0.0,,,,,
2014-02-08,5.9,2.8,8.6,1.0,0.0,,,,,
2014-02-09,6.2,4.5,8.5,2.0,0.0,,,,,
2014-02-10,4.3,1.0,7.5,0.1,0.0,,,,,
2014-02-11,4.7,2.3,7.5,0.0,0.0,,,,,
2014-02-12,5.3,3.0,7.9,0.2,0.0,,,,,
2014-02-13,5.7,1.5,9.0,6.4,0.0,,,,,
2014-02-14,4.3,1.5,7.5,0.5,0.0,,,,,
2014-02-15,9.5,5.3,12.9,1.7,0.0,,,,,
2014-02-16,5.7,2.5,8.2,0.6,0.0,,,,,
2014-02-17,3.7,0.0,7.7,0.0,0.0,,,,,
