Datum,Produktion,Verbrauch,Netzeinspeisung,Netzbezug
2015-03-03,3.703,6.325,0.317,2.603
2015-04-03,4.838,8.15,0.488,4.201
2015-05-03,4.514,8.208,0.052,4.181
2015-06-03,2.85,6.939,0.046,4.344
2015-07-03,6.193,10.451,0.236,4.914
2015-08-03,14.618,10.593,4.223,2.467
2015-09-03,11.29,5.92,5.326,1.071
2015-10-03,10.474,10.433,3.502,5.272
2015-11-03,12.738,6.647,5.52,0.479
2015-12-03,13.433,7.945,5.742,1.523
2015-03-13,4.921,6.814,0.435,1.704
2015-03-14,1.324,10.65,0.018,9.477
2015-03-15,1.308,7.913,0.023,6.678
2015-03-16,5.394,9.942,0.12,5.038
2015-03-17,11.055,8.188,1.58,1.765
2015-03-18,11.105,5.074,5.508,0.114
2015-03-19,14.643,5.966,7.65,0.838
2015-03-20,3.121,7.832,0.096,3.443
2015-03-21,2.523,9.174,0.063,6.825
2015-03-22,16.503,13.627,5.114,5.093
2015-03-23,12.792,6.193,5.088,0.435
2015-03-24,7.773,8.802,0.144,0.607
2015-03-25,6.873,8.398,0.093,2.582
2015-03-26,3.591,7.823,0.063,4.111
2015-03-27,5.151,5.041,0.122,1.351
2015-03-28,7.694,5.08,1.775,2.236
2015-03-29,1.977,2.825,0.101,0.103
2015-03-30,6.464,3.502,3.25,0.995
2015-03-31,2.094,5.91,0.589,3.225
2015-01-04,8.942,6.328,1.869,2.401
2015-02-04,9.275,9.287,1.441,1.326
2015-03-04,13.341,9.829,3.617,1.246
2015-04-04,11.569,6.947,4.462,1.177
2015-05-04,14.54,9.127,5.627,1.459
2015-06-04,16.719,6.26,8.548,0.523
2015-07-04,4.307,7.232,0.071,1.448
2015-08-04,11.516,6.788,4.372,2.08
2015-09-04,17.049,9.061,7.281,1.042
2015-10-04,13.683,8.231,4.733,0.541
2015-11-04,8.585,8.724,1.365,1.512
2015-12-04,13.792,5.741,5.958,0.906
2015-04-13,11.287,5.194,5.255,0.257
2015-04-14,4.222,4.196,0.113,0.183
2015-04-15,16.508,5.91,8.743,0.101
2015-04-16,13.232,4.994,7.265,0.098
2015-04-17,11.002,5.943,4.718,0.202
2015-04-18,16.577,12.022,3.574,1.328
2015-04-19,16.252,7.128,8.015,0.68
2015-04-20,16.3,6.158,9.22,0.118
2015-04-21,14.991,5.687,8.529,0.153
2015-04-22,15.673,5.745,8.581,0.145
2015-04-23,14.664,4.349,8.871,0.089
2015-04-24,15.201,5.955,7.925,0.091
2015-04-25,4.121,11.01,0.126,5.072
2015-04-26,3.857,8.404,0.253,5.025
2015-04-27,11.56,6.276,4.916,2.169
2015-04-28,12.071,10.261,2.476,2.177
2015-04-29,12.445,4.892,6.171,0.105
2015-04-30,9.497,7.574,0.129,0.044
2015-01-05,10.998,11.666,0.97,1.539
2015-02-05,11.191,8.41,1.462,1.021
2015-03-05,9.359,7.741,4.379,1.647
2015-04-05,11.3,4.811,4.135,1.106
2015-05-05,8.712,6.431,1.783,0.551
2015-06-05,13.054,6.397,5.556,0.433
2015-07-05,9.031,5.878,3.527,0.691
2015-08-05,11.543,7.83,3.523,0.784
2015-09-05,5.756,11.135,0.492,5.303
2015-10-05,15.396,6.271,7.833,2.503
2015-11-05,15.461,4.044,9.916,0.068
2015-12-05,9.774,5.283,3.661,0.318
2015-05-13,14.765,3.887,9.552,0.152
2015-05-14,4.649,13.268,0.146,6.931
2015-05-15,16.287,7.769,6.409,1.071
2015-05-16,3.138,7.043,0.159,2.694
2015-05-17,9.013,6.759,1.731,2.193
2015-05-18,6.9,7.329,0.826,1.267
2015-05-19,10.42,5.457,3.173,0.415
2015-05-20,11.389,7.557,2.959,0.822
2015-05-21,12.061,6.721,4.424,0.557
2015-05-22,9.086,6.061,3.564,0.485
2015-05-23,13.966,9.723,3.27,1.058
2015-05-24,17.902,5.969,9.698,0.431
2015-05-25,9.258,6.792,3.921,1.026
2015-05-26,10.135,6.95,1.363,0.472
2015-05-27,10.042,6.239,4.069,0.885
2015-05-28,5.959,7.05,0.335,1.045
2015-05-29,10.26,4.613,2.663,0.59
2015-05-30,10.508,2.874,6.674,0.092
2015-05-31,5.873,10.083,0.877,3.088
2015-01-06,12.752,6.236,3.819,1.206
2015-02-06,3.196,4.322,0.109,0.167
2015-03-06,10.769,8.009,2.071,1.798
2015-04-06,17.683,7.695,8.718,0.57
2015-05-06,17.231,4.116,11.731,0.084
2015-06-06,15.184,10.539,4.756,1.374
2015-07-06,13.971,7.399,5.876,0.944
